"","ForeName","Middle1","Middle2","LastName","Order","PMID","DOI","Journal"
"2313","Shuhai","","","Lin",17,"34678143","10.1016/j.cell.2021.10.001","Cell"
"2314","Shuhan","","","Huang",2,"34715023","10.1016/j.cell.2021.10.009","Cell"
"2315","Shuijun","","","Zhang",3,"34852238","10.1016/j.cell.2021.11.009","Cell"
"2316","Shunichiro","","","Kuramitsu",3,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2317","Shuting","","","Chen",10,"34852236","10.1016/j.cell.2021.11.007","Cell"
"2318","Shuwei","","","Zhang",10,"34558085","10.15252/embj.2020107277","The EMBO journal"
"2319","Shuxia","","","Guo",1,"34741152","10.1038/s41596-021-00620-3","Nature protocols"
"2320","Shuye","","","Zhang",64,"34767776","10.1016/j.cell.2021.10.023","Cell"
"2321","Sian","","","Faustini",8,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2322","Sichen","","","Shao",13,"34644530","10.1016/j.cell.2021.09.031","Cell"
"2323","Sigal","","","Ben-Yehuda",4,"34878184","10.15252/embj.2021109247","The EMBO journal"
"2324","Sigrun","H","","Lund",24,"34822786","10.1016/j.cell.2021.11.003","Cell"
"2325","Sigurdur","Runar","","Gudmundsson",8,"34741801","10.1016/j.cell.2021.10.017","Cell"
"2326","Sile","","","Johnson",37,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2327","Silvia","","","Marchesi",72,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2328","Simon","","","Boecker",1,"34928538","10.15252/msb.202110504","Molecular systems biology"
"2329","Simon","","","Gilroy",7,"34822785","10.1016/j.cell.2021.11.008","Cell"
"2330","Simon","F","","Lacey",23,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2331","Simon","","","Vandekar",47,"34910928","10.1016/j.cell.2021.11.031","Cell"
"2332","Simon","","","Woo",5,"34707256","10.1038/s41596-021-00612-3","Nature protocols"
"2333","Simone","","","Bianco",19,"34852237","10.1016/j.cell.2021.11.023","Cell"
"2334","Simone","","","Cavadini",4,"34595758","10.15252/embj.2021108008","The EMBO journal"
"2335","Simone","","","Pompei",10,"34605051","10.15252/embj.2021108225","The EMBO journal"
"2336","Simone","","","Tangermann",6,"34586646","10.15252/embj.2021108234","The EMBO journal"
"2337","Sini","","","Huuskonen",2,"34709727","10.15252/msb.202110396","Molecular systems biology"
"2338","Siobhan","M","","Brady",11,"34816587","10.15252/msb.202110625","Molecular systems biology"
"2339","Siranush","","","Sarkizova",26,"34910928","10.1016/j.cell.2021.11.031","Cell"
"2340","Snorre","","","Sulheim",6,"34635859","10.1038/s41596-021-00593-3","Nature protocols"
"2341","Sofia","A","","Quinodoz",1,"34739832","10.1016/j.cell.2021.10.014","Cell"
"2342","Solène","","","Clavreul",2,"34549820","10.15252/embj.2020107532","The EMBO journal"
"2343","Sonali","","","Chaturvedi",1,"34838159","10.1016/j.cell.2021.11.004","Cell"
"2344","Sonali","","","Roy",5,"34523752","10.15252/embj.2020106847","The EMBO journal"
"2345","Song","","","Chen",3,"34650278","10.1038/s41596-021-00507-3","Nature protocols"
"2346","Sonia","","","Guedan",12,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2347","Sonia","","","Rodríguez-Fdez",6,"34617326","10.15252/embj.2021108125","The EMBO journal"
"2348","Sonja","","","Djudjaj",20,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2349","Soon","Hee","","Kim",1,"34716451","10.1038/s41596-021-00622-1","Nature protocols"
"2350","Sophia","","","Brumhard",11,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2351","Sophia","","","Renauld",5,"34637701","10.1016/j.cell.2021.09.023","Cell"
"2352","Sophie","J","","Bradley",2,"34822784","10.1016/j.cell.2021.11.001","Cell"
"2353","Sophie","","","Schröder",8,"34806773","10.15252/embj.2020106459","The EMBO journal"
"2354","Soung-Hun","","","Roh",7,"34918374","10.15252/embj.2021109360","The EMBO journal"
"2355","Srivatsan","","","Raghavan",1,"34890551","10.1016/j.cell.2021.11.017","Cell"
"2356","Stacy","","","Gellenoncourt",9,"34601723","10.15252/embj.2021108944","The EMBO journal"
"2357","Stan","L","","Pashkovski",3,"34879231","10.1016/j.cell.2021.11.022","Cell"
"2358","Stefan","","","Bittner",1,"34767775","10.1016/j.cell.2021.10.018","Cell"
"2359","Stefan","","","Hippenstiel",35,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2360","Stefania","","","Giacomello",6,"34965378","10.1016/j.cell.2021.12.006","Cell"
"2361","Stefanie","","","Ohlig",1,"34549820","10.15252/embj.2020107532","The EMBO journal"
"2362","Steffen","","","Klamt",7,"34928538","10.15252/msb.202110504","Molecular systems biology"
"2363","Stella","G","","Victorelli",2,"34715021","10.1016/j.cell.2021.09.034","Cell"
"2364","Stephan","","","Saalfeld",15,"34875226","10.1016/j.cell.2021.11.024","Cell"
"2365","Stephan","","","Wilkens",6,"34918374","10.15252/embj.2021109360","The EMBO journal"
"2366","Stephane","","","Ballereau",112,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2367","Stéphane","","","Duquerroy",7,"34852239","10.1016/j.cell.2021.11.010","Cell"
"2368","Stéphane","","","Marcand",9,"34817085","10.15252/embj.2021108813","The EMBO journal"
"2369","Stephanie","C","","Eisenbarth",13,"34852236","10.1016/j.cell.2021.11.007","Cell"
"2370","Stephanie","","","Longet",2,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2371","Stephanie","E","","Richards",18,"34822785","10.1016/j.cell.2021.11.008","Cell"
