FirstName,LastName,Order,PMID,Journal,CitationCount,Gender,Date.Received,Date.Published,Field
Uli,Walther  ,3,1308.4182v5,American Journal of Mathematics,24,M,7-Nov-13,12-Oct-16,Mathematics
Isabella,Ianni  ,2,1309.6961v2,American Journal of Mathematics,18,F,25-Sep-13,15-Jul-15,Mathematics
Francesca,De Marchis ,1,1309.6961v2,American Journal of Mathematics,18,F,25-Sep-13,15-Jul-15,Mathematics
Filomena,Pacella  ,3,1309.6961v2,American Journal of Mathematics,18,F,25-Sep-13,15-Jul-15,Mathematics
Thomas,Bartsch  ,1,1310.4731v1,American Journal of Mathematics,42,M,17-Oct-13,12-Aug-14,Mathematics
Jaroslaw,Mederski  ,2,1310.4731v1,American Journal of Mathematics,42,M,17-Oct-13,12-Aug-14,Mathematics
Giovanni,Rosso  ,1,1310.6583v2,American Journal of Mathematics,6,M,13-Jan-14,1-Jun-16,Mathematics
Pawel,Pasteczka  ,1,1311.2155v1,Acta Mathematica,6,M,17-Jul-14,8-May-15,Mathematics
Luisa,Consiglieri  ,1,1312.0625v1,Acta Mathematica,3,F,9-Jul-14,15-Jun-15,Mathematics
Yao,Ma  ,3,1401.1075v1,Acta Mathematica,8,M,16-Feb-14,9-May-15,Mathematics
Liangyun,Chen  ,2,1401.1075v1,Acta Mathematica,8,M,16-Feb-14,9-May-15,Mathematics
Jie,Lin  ,1,1401.1075v1,Acta Mathematica,8,Unk,16-Feb-14,9-May-15,Mathematics
Attila,Deák  ,1,1401.2521v1,Acta Mathematica,1,M,5-Oct-12,30-Apr-13,Mathematics
Luca,Rondi  ,1,1401.4081v1,American Journal of Mathematics,10,M,20-Jan-14,4-Mar-15,Mathematics
Mourad,Sini  ,2,1401.4081v1,American Journal of Mathematics,10,M,20-Jan-14,4-Mar-15,Mathematics
Naihong,Hu  ,1,1401.8184v1,Acta Mathematica,0,M,17-Dec-13,5-Sep-14,Mathematics
Shenyou,Wang  ,2,1401.8184v1,Acta Mathematica,0,Unk,17-Dec-13,5-Sep-14,Mathematics
Juan,Soler  ,5,1402.1679v2,American Journal of Mathematics,13,M,,26-Jan-17,Mathematics
Vicent,Caselles  ,3,1402.1679v2,American Journal of Mathematics,13,M,,26-Jan-17,Mathematics
